Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,EXP
1,Miami Dolphins,17,393,566,69.4,4514,30,5.3,15,2.7,78,8.3,8.2,12,265.5,101.2,31,184,5.2,7.6,7.4,2,2,127.81
2,Detroit Lions,17,408,606,67.3,4401,30,5,12,2,70,7.6,7.7,11.3,258.9,98.1,31,205,4.9,6.9,7,2,3,172.54
3,Dallas Cowboys,17,428,614,69.7,4397,36,5.9,10,1.6,92,7.6,8,10.9,258.6,104.6,40,263,6.1,6.7,7.1,2,3,179.79
4,San Francisco 49ers,17,336,491,68.4,4384,33,6.7,12,2.4,76,9.3,9.6,13.6,257.9,110.2,34,193,6.5,8.4,8.6,,,229.41
5,Minnesota Vikings,17,424,631,67.2,4359,30,4.8,19,3,62,7.4,7,11.1,256.4,92.4,47,341,6.9,6.4,6.1,1,2,64.35
6,Kansas City Chiefs,17,421,635,66.3,4188,28,4.4,17,2.7,67,6.9,6.6,10.4,246.4,89.6,28,195,4.2,6.3,6,2,3,102.2
7,Houston Texans,17,372,592,62.8,4173,27,4.6,8,1.4,75,7.7,8,12.3,245.5,96.2,47,405,7.4,6.5,6.8,2,4,107.25
8,Buffalo Bills,17,385,579,66.5,4154,29,5,18,3.1,81,7.4,7,11.2,244.4,92.2,24,152,4,6.9,6.5,2,4,134.2
9,Jacksonville Jaguars,17,412,620,66.5,4126,22,3.5,14,2.3,65,7.1,6.8,10.6,242.7,89.3,41,251,6.2,6.2,6,1,2,75.42
10,Los Angeles Rams,17,361,583,61.9,4063,26,4.5,13,2.2,80,7.4,7.3,11.9,239,90,34,237,5.5,6.6,6.5,2,3,117.13
11,New Orleans Saints,17,406,606,67,3990,28,4.6,11,1.8,58,7,7.1,10.4,234.7,94.8,35,235,5.5,6.2,6.3,0,2,79.42
12,Green Bay Packers,17,374,581,64.4,3968,32,5.5,11,1.9,77,7.2,7.5,11.3,233.4,96.4,30,242,4.9,6.5,6.7,2,3,181.3
13,Los Angeles Chargers,17,409,632,64.7,3957,24,3.8,8,1.3,79,6.8,7,10.5,232.8,91.8,43,355,6.4,5.9,6,1,1,40.68
14,Seattle Seahawks,17,371,575,64.5,3910,23,4,12,2.1,73,7.2,7.1,11.2,230,90.7,38,257,6.2,6.4,6.2,5,6,88.74
15,Cincinnati Bengals,17,420,615,68.3,3895,27,4.4,14,2.3,80,6.9,6.8,10.1,229.1,93,50,362,7.5,5.9,5.7,2,2,51.61
16,Philadelphia Eagles,17,369,563,65.5,3834,24,4.3,16,2.8,63,7.2,6.8,11,225.5,89.2,39,233,6.5,6.4,6,3,4,78.86
17,Tampa Bay Buccaneers,17,364,568,64.1,3812,28,4.9,10,1.8,75,7.1,7.3,11.1,224.2,94.2,40,232,6.6,6.3,6.5,1,2,113.44
18,Washington Commanders,17,407,636,64,3725,24,3.8,21,3.3,51,6.6,5.8,10.3,219.1,81.6,65,449,9.3,5.3,4.7,2,2,-26.38
19,Cleveland Browns,17,355,624,56.9,3693,24,3.8,23,3.7,75,6.4,5.5,11.3,217.2,73.7,45,318,6.7,5.5,4.7,4,5,-73.14
20,Indianapolis Colts,17,355,574,61.8,3666,18,3.1,10,1.7,75,6.8,6.6,10.9,215.6,85,41,216,6.7,6,5.8,2,2,42.57
21,Baltimore Ravens,17,328,494,66.4,3635,27,5.5,7,1.4,80,7.9,8.3,11.8,213.8,102.5,41,246,7.7,6.8,7.2,1,0,81.07
22,Atlanta Falcons,17,327,530,61.7,3524,17,3.2,17,3.2,75,7.1,6.3,11.5,207.3,80.5,40,251,7,6.2,5.4,2,4,7.53
23,Las Vegas Raiders,17,348,557,62.5,3380,20,3.6,18,3.2,50,6.6,5.8,10.5,198.8,80.1,40,286,6.7,5.7,5,2,3,17.05
24,Denver Broncos,17,337,513,65.7,3262,28,5.5,9,1.8,60,7,7.3,10.6,191.9,96.7,52,304,9.2,5.8,6,4,4,19.36
25,Pittsburgh Steelers,17,323,506,63.8,3163,13,2.6,9,1.8,86,6.8,6.5,10.6,186.1,84.6,36,258,6.6,5.8,5.6,3,4,-2.76
26,Arizona Cardinals,17,355,555,64,3144,18,3.2,12,2.2,69,6.2,5.9,9.7,184.9,82.9,42,286,7,5.3,5,2,2,-25.1
27,Chicago Bears,17,321,513,62.6,3096,19,3.7,15,2.9,58,6.7,6.1,10.7,182.1,82.2,50,325,8.9,5.5,5,1,1,-27.07
28,New England Patriots,17,351,557,63,3069,16,2.9,21,3.8,58,6.1,5,9.7,180.5,73.8,48,323,7.9,5.1,4,1,2,-123.49
29,Tennessee Titans,17,304,494,61.5,3067,14,2.8,11,2.2,70,7.1,6.7,11.6,180.4,83.2,64,445,11.5,5.5,5.1,2,2,19.75
30,New York Jets,17,356,601,59.2,2919,11,1.8,15,2.5,68,5.6,4.9,9.5,171.7,70.5,64,454,9.6,4.4,3.7,4,3,-140.32
31,New York Giants,17,338,518,65.3,2886,15,2.9,12,2.3,80,6.5,6,9.9,169.8,83.4,85,465,14.1,4.8,4.4,2,3,-75.86
32,Carolina Panthers,17,350,586,59.7,2741,13,2.2,10,1.7,48,5.5,5.2,9.3,161.2,75.2,65,504,10,4.2,3.9,2,2,-111.18
,Avg Team,,369,572.3,64.5,3721.7,23.6,4.1,13.4,2.3,70,7,6.8,10.9,218.9,89,44.1,296,7.1,6.04,5.8,2,2.7,47.7
,League Total,,11808,18315,64.5,119095,754,4.1,430,2.3,92,7,6.8,10.9,218.9,89,1410,9472,7.1,6.04,5.8,64,85,
,Avg Tm/G,,21.7,33.7,64.5,218.9,1.4,4.1,0.8,2.3,,7,6.8,10.9,218.9,89,2.6,17.4,7.1,6.04,5.8,,,
